element,a1,b1,a2,b2,a3,b3,a4,b4,c
Tm3+,27.31,1.79,19.33,0.14,12.33,7.97,5.38,17.29,1.64
Yb,28.66,1.99,15.43,0.26,15.31,10.66,2.99,100.42,7.57
Yb2+,28.12,1.79,17.68,0.16,13.33,8.18,5.15,20.39,3.71
Yb3+,27.89,1.73,18.76,0.14,12.61,7.64,5.48,16.82,2.26
Lu,28.95,1.90,15.22,9.99,15.10,0.26,3.72,84.33,7.98
Lu3+,28.46,1.68,18.12,0.14,12.84,7.34,5.59,16.35,2.98
Hf,29.14,1.83,15.17,9.60,14.76,0.28,4.30,72.03,8.58
Hf4+,28.81,1.59,18.46,0.13,12.73,6.76,5.60,14.04,2.40
Ta,29.20,1.77,15.23,9.37,14.51,0.30,4.76,63.36,9.24
Ta5+,29.16,1.51,18.84,0.12,12.83,6.32,5.39,12.42,1.79
W,29.08,1.72,15.43,9.23,14.43,0.32,5.12,57.06,9.89
W6+,29.49,1.43,19.38,0.10,13.05,5.94,5.06,11.20,1.01
Re,28.76,1.67,15.72,9.09,14.56,0.35,5.44,52.09,10.47
Os,28.19,1.63,16.16,8.98,14.93,0.38,5.68,48.16,11.00
Os4+,30.42,1.37,15.26,6.85,14.75,0.17,5.07,18.00,6.50
Ir,27.30,1.59,16.73,8.87,15.61,0.42,5.83,45.00,11.47
Ir3+,30.42,1.34,15.86,7.11,13.61,0.20,5.82,20.33,8.28
Ir4+,30.71,1.31,15.55,6.72,14.23,0.17,5.54,17.49,6.97
Pt,27.01,1.51,17.76,8.81,15.71,0.42,5.78,38.61,11.69
Pt2+,29.84,1.33,16.72,7.39,13.22,0.26,6.35,22.94,9.85
Pt4+,30.96,1.25,15.98,6.61,13.73,0.17,5.92,16.94,7.40
Au,16.88,0.46,18.59,8.62,25.56,1.48,5.86,36.40,12.07
Au1+,28.01,1.35,17.82,7.74,14.34,0.36,6.58,26.40,11.23
Au3+,30.69,1.22,16.90,6.83,12.78,0.21,6.52,18.66,9.10
